Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,disVeg2,disHT2,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,dna_id,prevtags,first_action,exit_time,dummy
1,,CC,,,,,,,0,0,0,0,0,0,N,67,120,0,120,0,0,0,0,,,11-Aug-80,5-Jun-80,100%,100%,0,0,0,0,,,,N,120,,,,,,,,,,,,,,,1
2,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,24-Jun-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,2
3,,CC,,,,,,,0,0,0,0,0,0,N,67,117,0,62,0,0,0,0,,,11-Aug-80,5-Jun-80,100%,100%,0,0,0,0,,,,N,62,,,,,,,,,,,,,,,3
4,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,23-Jun-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,4
5,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,10-Jun-80,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,5
6,,CC,,,,,,,0,0,0,0,0,0,N,58,114,0,110,0,0,0,0,,,20-Aug-80,23-Jun-80,100%,100%,0,0,0,0,,,,N,110,,,,,,,,,,,,,,,6
7,,CC,,,,,,,0,0,0,0,0,0,N,0,149,0,111,0,0,0,0,,,,16-Jun-80,100%,100%,0,0,0,0,,,,Y,111,,,,,,,,,,,,,,,7
8,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,23-Jun-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,8
9,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,19-Jun-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,9
10,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,22-Jun-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,10
11,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,19-Jun-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,11
12,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,22-Jun-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,12
13,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,18-Jun-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,13
14,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,23-Jun-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,14
15,,CC,,,,,,,0,0,0,0,0,0,N,0,90,0,42,0,0,0,0,,,,11-Jun-80,100%,100%,0,0,0,0,,,,Y,42,,,,,,,,,,,,,,,15
16,,CC,,,,,,,0,0,0,0,0,0,N,0,138,0,23,0,0,0,0,,,,19-Jun-80,100%,100%,0,0,0,0,,,,N,23,,,,,,,,,,,,,,,16
17,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,19-Jun-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,17
18,,CC,,,,,,,0,0,0,0,0,0,N,0,116,0,110,0,0,0,0,,,,9-Jun-80,100%,100%,0,0,0,0,,,,Y,110,,,,,,,,,,,,,,,18
19,,CC,,,,,,,0,0,0,0,0,0,N,0,134,0,129,0,0,0,0,,,,16-Jun-80,100%,100%,0,0,0,0,,,,Y,129,,,,,,,,,,,,,,,19
20,,CC,,,,,,,0,0,0,0,0,0,N,66,150,0,102,0,0,0,0,,,29-Aug-80,24-Jun-80,100%,100%,0,0,0,0,,,,Y,102,,,,,,,,,,,,,,,20
21,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,22-Jun-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,21
