Nest Number,Cage Material,Year,ID,
1,M,2017,20171,
2,M,2017,20172,
3,P,2017,20173,
4,P,2017,20174,
5,M,2017,20175,
6,P,2017,20176,
7,M,2017,20177,
8,P,2017,20178,
9,M,2017,20179,
10,P,2017,201710,
11,M,2017,201711,
12,P,2017,201712,
13,M,2017,201713,
14,P,2017,201714,
15,,2017,201715,
16,P,2017,201716,
17,M,2017,201717,
18,P,2017,201718,
19,M,2017,201719,
20,P,2017,201720,
21,M,2017,201721,
22,P,2017,201722,
23,,2017,201723,
24,M,2017,201724,
25,M,2017,201725,
26,,2017,201726,
27,M,2017,201727,
28,M,2017,201728,
29,M,2017,201729,
30,M,2017,201730,
31,M,2017,201731,
32,M,2017,201732,
33,M,2017,201733,
34,M,2017,201734,
35,P,2017,201735,
36,,2017,201736,
37,P,2017,201737,
38,P,2017,201738,
39,P,2017,201739,
40,n/a,2017,201740,
1,M,2016,20161,
2,M,2016,20162,
3,M,2016,20163,
4,M,2016,20164,
5,M,2016,20165,
6,M,2016,20166,
7,M,2016,20167,
8,M,2016,20168,
9,M,2016,20169,
10,M,2016,201610,
11,M,2016,201611,
12,M,2016,201612,
13,M,2016,201613,
14,M,2016,201614,
15,M,2016,201615,
16,M,2016,201616,
17,M,2016,201617,
18,M,2016,201618,
19,M,2016,201619,
20,M,2016,201620,
21,M,2016,201621,
22,M,2016,201622,
23,M,2016,201623,
24,M,2016,201624,
25,M,2016,201625,
26,M,2016,201626,
27,M,2016,201627,
28,M,2016,201628,
29,M,2016,201629,
30,M,2016,201630,
31,M,2016,201631,
32,M,2016,201632,
33,P,2016,201633,
34,P,2016,201634,
35,M,2016,201635,
36,P,2016,201636,
37,M,2016,201637,
38,M,2016,201638,
39,P,2016,201639,
40,P,2016,201640,
41,M,2016,201641,
42,M,2016,201642,
43,M,2016,201643,
44,M,2016,201644,
45,M,2016,201645,
46,M,2016,201646,
47,M,2016,201647,
48,M,2016,201648,
49,M,2016,201649,
50,M,2016,201650,
51,M,2016,201651,
52,P,2016,201652,
53,M,2016,201653,
54,P,2016,201654,
55,M,2016,201655,
56,M,2016,201656,
57,M,2016,201657,
58,P,2016,201658,
59,P,2016,201659,
60,M,2016,201660,
61,M,2016,201661,
62,P,2016,201662,
63,P,2016,201663,
64,P,2016,201664,
65,P,2016,201665,
66,P,2016,201666,
67,M,2016,201667,
68,M,2016,201668,
69,P,2016,201669,
70,P,2016,201670,
71,P,2016,201671,
72,M,2016,201672,
73,P,2016,201673,
74,P,2016,201674,
75,M,2016,201675,
76,P,2016,201676,
