Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,disHT2,disVeg2,dna_id,prevtags,first_action,exit_time
1,,CC,,,,,,,,,,,,,,67,120,,120,,,,,,,11AUG1980,05JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
2,,CC,,,,,,,,,,,,,,,,,,,,,,,,,24JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
3,,CC,,,,,,,,,,,,,,67,117,,62,,,,,,,11AUG1980,05JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
4,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,23JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
5,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,10JUN1980,,,,,,,,Y,,,,,,,,,,,,,,,,,
6,,CC,,,,,,,,,,,,,,58,114,,110,,,,,,,20AUG1980,23JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
7,,CC,,,,,,,,,,,,,,,149,,111,,,,,,,,16JUN1980,,,,,,,,Y,,,,,,,,,,,,,,,,,
8,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,23JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
9,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,19JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
10,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,22JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
11,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,19JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
12,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,22JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
13,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,18JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
14,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,23JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
15,,CC,,,,,,,,,,,,,,,90,,42,,,,,,,,11JUN1980,,,,,,,,Y,,,,,,,,,,,,,,,,,
16,,CC,,,,,,,,,,,,,,,138,,23,,,,,,,,19JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
17,,CC,,,,,,,,,,,,,,,,,,,,,,,,,19JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
18,,CC,,,,,,,,,,,,,,,116,,110,,,,,,,,09JUN1980,,,,,,,,Y,,,,,,,,,,,,,,,,,
19,,CC,,,,,,,,,,,,,,,134,,129,,,,,,,,16JUN1980,,,,,,,,Y,,,,,,,,,,,,,,,,,
20,,CC,,,,,,,,,,,,,,66,150,,102,,,,,,,29AUG1980,24JUN1980,,,,,,,,Y,,,,,,,,,,,,,,,,,
21,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,22JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
22,,CC,,,,,,,,,,,,,,,110,,25,,,,,,,,24JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
23,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,24JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
24,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,24JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
25,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,30JUN1980,,,,,,,,N,,,,,,,,,,,,,,,,,
26,,CC,,,,,,,,,,,,,,75,135,,3,,,,,,,16SEP1980,03JUL1980,,,,,,,,Y,,,,,,,,,,,,,,,,,
27,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,02JUL1980,,,,,,,,N,,,,,,,,,,,,,,,,,
28,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,07JUL1980,,,,,,,,N,,,,,,,,,,,,,,,,,
29,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,08JUL1980,,,,,,,,N,,,,,,,,,,,,,,,,,
30,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,08JUL1980,,,,,,,,N,,,,,,,,,,,,,,,,,
31,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,08JUL1980,,,,,,,,N,,,,,,,,,,,,,,,,,
32,,CC,,,,,,,,,,,,,,,90,,0,,,,,,,,06JUL1980,,,,,,,,N,,,,,,,,,,,,,,,,,
33,,CC,,,,,,,,,,,,,,,131,,0,,,,,,,,07JUL1980,,,,,,,,Y,,,,,,,,,,,,,,,,,
34,,CC,,,,,,,,,,,,,,,101,,24,,,,,,,,10JUL1980,,,,,,,,Y,,,,,,,,,,,,,,,,,
