Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,disHT2,disVeg2,dna_id,prevtags,first_action,exit_time,year
1,,CC,,,,,,,,,,,,,,67.0,120.0,,120.0,,,,,,,11-Aug-80,5-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
2,,CC,,,,,,,,,,,,,,,,,,,,,,,,,24-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
3,,CC,,,,,,,,,,,,,,67.0,117.0,,62.0,,,,,,,11-Aug-80,5-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
4,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,23-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
5,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,10-Jun-80,,,,,,,,Y,,,,,,,,,,,,,,,,,,1980.0
6,,CC,,,,,,,,,,,,,,58.0,114.0,,110.0,,,,,,,20-Aug-80,23-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
7,,CC,,,,,,,,,,,,,,,149.0,,111.0,,,,,,,,16-Jun-80,,,,,,,,Y,,,,,,,,,,,,,,,,,,1980.0
8,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,23-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
9,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,19-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
10,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,22-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
11,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,19-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
12,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,22-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
13,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,18-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
14,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,23-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
15,,CC,,,,,,,,,,,,,,,90.0,,42.0,,,,,,,,11-Jun-80,,,,,,,,Y,,,,,,,,,,,,,,,,,,1980.0
16,,CC,,,,,,,,,,,,,,,138.0,,23.0,,,,,,,,19-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
17,,CC,,,,,,,,,,,,,,,,,,,,,,,,,19-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
18,,CC,,,,,,,,,,,,,,,116.0,,110.0,,,,,,,,9-Jun-80,,,,,,,,Y,,,,,,,,,,,,,,,,,,1980.0
19,,CC,,,,,,,,,,,,,,,134.0,,129.0,,,,,,,,16-Jun-80,,,,,,,,Y,,,,,,,,,,,,,,,,,,1980.0
20,,CC,,,,,,,,,,,,,,66.0,150.0,,102.0,,,,,,,29-Aug-80,24-Jun-80,,,,,,,,Y,,,,,,,,,,,,,,,,,,1980.0
21,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,22-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
22,,CC,,,,,,,,,,,,,,,110.0,,25.0,,,,,,,,24-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
23,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,24-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
24,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,24-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
25,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,30-Jun-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
26,,CC,,,,,,,,,,,,,,75.0,135.0,,3.0,,,,,,,16-Sep-80,3-Jul-80,,,,,,,,Y,,,,,,,,,,,,,,,,,,1980.0
27,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,2-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
28,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,7-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
29,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,8-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
30,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,8-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
31,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,8-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
32,,CC,,,,,,,,,,,,,,,90.0,,0.0,,,,,,,,6-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
33,,CC,,,,,,,,,,,,,,,131.0,,0.0,,,,,,,,7-Jul-80,,,,,,,,Y,,,,,,,,,,,,,,,,,,1980.0
34,,CC,,,,,,,,,,,,,,,101.0,,24.0,,,,,,,,10-Jul-80,,,,,,,,Y,,,,,,,,,,,,,,,,,,1980.0
35,,CC,,,,,,,,,,,,,,,101.0,,52.0,,,,,,,,15-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
36,,CC,,,,,,,,,,,,,,,96.0,,96.0,,,,,,,,29-Jul-80,,,,,,,,Y,,,,,,,,,,,,,,,,,,1980.0
37,,CC,,,,,,,,,,,,,,,125.0,,60.0,,,,,,,,29-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
38,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,2-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
39,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,7-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
40,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,7-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
41,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,6-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
42,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,6-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
43,,CC,,,,,,,,,,,,,,,,,,,,,,,,,29-Jul-80,,,,,,,,Y,,,,,,,,,,,,,,,,,,1980.0
44,,CC,,,,,,,,,,,,,,77.0,102.0,,98.0,,,,,,,17-Sep-80,2-Jul-80,,,,,,,,Y,,,,,,,,,,,,,,,,,,1980.0
45,,CC,,,,,,,,,,,,,,,66.0,,62.0,,,,,,,,7-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
46,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,10-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
47,,CC,,,,,,,,,,,,,,,100.0,,68.0,,,,,,,,8-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
48,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,6-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
49,,CC,,,,,,,,,,,,,,,97.0,,0.0,,,,,,,,30-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
50,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,9-Aug-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
51,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,11-Aug-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
52,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,11-Aug-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
53,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,11-Aug-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
54,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,14-Aug-80,,,,,,,,Y,,,,,,,,,,,,,,,,,,1980.0
55,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,3-Aug-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
56,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,4-Aug-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
